review_id,product_id,review_content,rating,date,helpful_vote,verified_purchase,top_reviewer,title,bought_model,is_anomaly
1,1,"I love this so much better than my old, broken Kindle fire.  I have a smartphone, a tablet, a desktop, a laptop - I didn't need the Fire & never really liked it.  I had been wanting a paperwhite but wouldn't buy one when my Fire worked fine.  Then it didn't.  It stopped charging so I bought the paperwhite.  So happy I did!  This is my 3rd Kindle & my favorite by far!",5,2018-10-20,,True,,Great Kindle!!!,,
2,1,"I have had to contact kindle support too many times , this kindle has trouble down loading library books. I've had to contact support each time and have them do it. My old kindle didn't have that problem.",3,2018-10-20,,True,,downloading library books,,
3,1,I love it,5,2018-10-20,,True,,I love it,,
4,1,"I was hesitant to buy Kindle because it is single purpose, slow at the age of faster multi purpose smartphones and and tablets. I have tried reading books on my computer, smartphone but it didn’t work for me. I would ger distracted with notifications and other apps. Kindle has made me fall in love with reading books again. l spend less and less time on social media and prefer reading more. Its size is perfect for reading, light does not irritate your eyes, almost no reflection.  So yes it is single purpose but does ite job exteemely well. If you like reading you will love this.",5,2018-10-19,,True,,Made me fall in love with reading again,,
5,1,"It works perfectly, has good battery life, is easy on the eyes and is easy to hold.",5,2018-10-19,,True,,I've read more books since I got this last weekend than I read without it this past year,,
6,1,"I like it very much as is handy, convenient to carry around,  the screen gives less strain to my eyes compared to mobile phone. My reading materials are mostly on health books at this moment.",4,2018-10-19,,True,,Allow me to read more & less worries of books storage,,
7,1,"Love it.  Can read anywhere, anytime (bright sunshine or darkened bedroom.",5,2018-10-19,,True,,Kindle Paperwhite,,
8,1,"I haven’t been able to read books in the past four years due to shadowing and double vision. With the paper white kindle, I am again enjoying books.",5,2018-10-19,,True,,"The Paper White Kindel is lightweight, has adjustable Font, and  background light.",,
9,1,So much nicer then using a app on an iPad.,5,2018-10-19,,True,,Can read in direct sunlight,,
10,1,"I have a fire and this new paperwhite (well, new when I bought it earlier this year). Unlike the claims Amazon makes, it does not hold the charge for weeks (because I use it a lot), but it does last a lot longer than my fire, and it charges fast--from dead to full power in an hour. I would like charge claims to actually state how many hours a charge lasts on all Kindle products because everyone's reading habits are different. A few things I especially like is that it's easier to delete a book from the home page and the covers that automatically turn it on/off. I'm glad I upgraded, am happy with my paperwhite and would recommend it.",5,2018-10-19,,True,,great product,,
11,1,I love my Kindle paperwhite. I can take it to the pool and sit in the sun and read without glare. I have been reading on the Kindle paperwhite for years. I accidentally left mine in Europe on a recent vacation. I was so happy to be able to replace it at a very reasonable price with a brand new Kindle paperwhite in two days.,5,2018-10-05,,True,,Best Reader Ever,,
12,1,"I had a 2nd generation Kindle which I loved and still works perfectly, but I though I'd try a newer one and this is a great kindle. Works perfectly as a reader and does absolutely everything I think it should.  Would definitely recommend this model to anyone wanting a reader.",5,2018-10-05,,True,,What a difference a new kindle makes...,,
13,1,Good E-reader but would be great if it were waterproof at this size and price.,4,2018-10-05,,True,,E Reader,,
14,1,This is my second Kindle Paperwhite.  I love it.  I use it every day for hours.  It is easy to use and very flexible.,5,2018-10-05,,True,,It Works,,
15,1,Great for reading out side.,5,2018-10-05,,True,,Great value,,
